model,axis,motor,controller,reference,hz,inertia_scale,gravity_ff_scale,nominal_inertia_kg_m2,plant_inertia_kg_m2,required_peak_nm,available_wire_nm,status,reason,samples,evaluation_samples,rms_rad,rms_after_1s_rad,peak_rad,peak_after_1s_rad,peak_request_nm,peak_wire_nm,peak_actuator_nm,saturation_ratio,adapter_clamp_ratio,wire_total_variation_nm,wire_total_variation_nm_per_s,min_angle_rad,max_angle_rad,final_error_rad,joint_min_rad,joint_max_rad,gravity_sin_nm,gravity_cos_nm
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,1000,1,1,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00250084517,0.00084291626,0.03,0.00148117282,0.158970475,0.159018311,0.14478862,0,0,11.4745551,1.91242584,-0.00148127661,0.03,-0.000402395657,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,1000,1,0.8,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00250084517,0.00084291626,0.03,0.00148117282,0.158970475,0.159018311,0.14478862,0,0,11.4745551,1.91242584,-0.00148127661,0.03,-0.000402395657,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,1000,1,1,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,6000,5000,0.00170306341,0.0018453561,0.00319614242,0.00319614242,0.163757533,0.163767151,0.151562598,0,0,6.64783374,1.10797229,-0.102649372,0.0998428651,-0.00125250296,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,1000,1,0.8,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,6000,5000,0.00170306341,0.0018453561,0.00319614242,0.00319614242,0.163757533,0.163767151,0.151562598,0,0,6.64783374,1.10797229,-0.102649372,0.0998428651,-0.00125250296,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,1000,1,1,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,6000,5000,0.000788747635,0.00084430849,0.00272186746,0.00155781784,0.192608654,0.192667236,0.173444979,0,0,11.6233973,1.93723288,-0.101128643,0.0999275432,-0.000389131303,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,1000,1,0.8,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,6000,5000,0.000788747635,0.00084430849,0.00272186746,0.00155781784,0.192608654,0.192667236,0.173444979,0,0,11.6233973,1.93723288,-0.101128643,0.0999275432,-0.000389131303,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,1000,2,1,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00341144773,0.00184760242,0.03,0.00305569081,0.143581226,0.143550659,0.135793601,0,0,4.36092792,0.72682132,-0.00305570079,0.03,-0.00130269081,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,1000,2,0.8,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00341144773,0.00184760242,0.03,0.00305569081,0.143581226,0.143550659,0.135793601,0,0,4.36092792,0.72682132,-0.00305570079,0.03,-0.00130269081,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,1000,2,1,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00273956917,0.000843969626,0.03,0.00144586981,0.158987358,0.159018311,0.149304636,0,0,6.78500739,1.13083456,-0.00144587794,0.03,-0.000423275208,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,1000,2,0.8,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00273956917,0.000843969626,0.03,0.00144586981,0.158987358,0.159018311,0.149304636,0,0,6.78500739,1.13083456,-0.00144587794,0.03,-0.000423275208,-0.5,0.5,0,0
